tweet_id,text,created_at,lang,cleaned_text,sentiment
1942185305815302413,"RT @OnceHuman_JP: OnceHuman V2.0奇夢の目覚め記念
D5-7日連続抽選キャンペーン

ジョブシステムが登場
@OnceHuman_JP をフォロー＆RTで
総額30万円分えらべるPay
レアアイテムｘ710名
その場で当たるチャンス
※ゲーム内スク…",2025-07-07 11:33:55,ja,RT OnceHuman V20 D57 RT 30Pay 710,Neutral
1942185302748991560,"Cuantas religiones más vas a contaminar, por lo menos debería aprender del trabajo social de cada una de ellas y dejar el marketing de tu hermana. Al César lo que es del César...🎪👎  dejen de usar las creencias de la gente por votos..#milei #IglesiaEvangelica #Basta https://t.co/Of9BUYMJBq",2025-07-07 11:33:54,es,Cuantas religiones ms vas a contaminar por lo menos debera aprender del trabajo social de cada una de ellas y dejar el marketing de tu hermana Al Csar lo que es del Csar dejen de usar las creencias de la gente por votos,Neutral
1942185297329992134,"O mercado imobiliário está mais quente em Campinas do que em São Paulo; entenda o fenômeno https://t.co/muMsWhRqZZ

Só que não ! Escrevam quanto tempo demora para aprovar um projeto residencial ou comercial em Campinas - Campinas - cidade da tecnologia só no Marketing!",2025-07-07 11:33:53,pt,O mercado imobilirio est mais quente em Campinas do que em So Paulo entenda o fenmeno S que no Escrevam quanto tempo demora para aprovar um projeto residencial ou comercial em Campinas Campinas cidade da tecnologia s no Marketing,Negative
1942185286454202798,"@mojustinX I will be sharing out some of my Top trading strategies and marketing insight with those who are fully interested for Free.
So Everyone follow the link to join my trading group for more marketing insight and others profitable lectures
👇👇👇

https://t.co/Zk8ukieiCh",2025-07-07 11:33:51,en,I will be sharing out some of my Top trading strategies and marketing insight with those who are fully interested for Free So Everyone follow the link to join my trading group for more marketing insight and others profitable lectures,Positive
1942185278845706481,RT @oramonozorio: pode anotar esse tweet vai virar um post no linkedin sobre marketing de produto,2025-07-07 11:33:49,pt,RT pode anotar esse tweet vai virar um post no linkedin sobre marketing de produto,Negative
1942185275918356988,"Many businesses utilize Facebook for marketing and advertising campaigns, reaching target audiences with tailored promotions and engaging content.

#NewIdeas https://t.co/lTUeaW41Dj",2025-07-07 11:33:48,en,Many businesses utilize Facebook for marketing and advertising campaigns reaching target audiences with tailored promotions and engaging content,Positive
1942185275066921046,@Abe_marketing 医療費の支払いです,2025-07-07 11:33:48,ja,,Neutral
1942185272919081072,@Este13721 Rien que pour le côté marketing niveau mondial etc si tu supportes un club comme l’OM tu dois pleurer Pogba surtout qu’on en parle depuis 6 mois,2025-07-07 11:33:47,fr,Rien que pour le ct marketing niveau mondial etc si tu supportes un club comme lOM tu dois pleurer Pogba surtout quon en parle depuis 6 mois,Neutral
1942185260831449356,"RT @JoshiPralhad: Maharashtra Agriculture Minister Shri @kokate_manikrao ji and Marketing &amp; Protocol Minister Shri @JaykumarRawal ji, along…",2025-07-07 11:33:44,in,RT Maharashtra Agriculture Minister Shri ji and Marketing amp Protocol Minister Shri ji along,Neutral
1942185260386758781,RT @Mintchocaegyo: 8 seconds เป็นแบรนด์ชั้นนำของเกาหลีและได้รับความนิยมอย่างภายในประเทศ มีสาขาใหม่งอกขึ้นเรื่อยๆ ไม่ใช่ขยายแค่ในประเทศอย่าง…,2025-07-07 11:33:44,th,RT 8 seconds,Neutral
